provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Sevilla,2020-01-30,0,0,0,0,0,0,0,0,0,13,0,8.8,17.2,23,0.8,4.2,4.7,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-31,0,0,0,0,0,0,3,0,0,14.8,0,10.5,19.2,99,3.6,7.8,6.7,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-31,3,3,0,0,0,0,3,0,0,13.2,0.2,10.5,15.8,99,2.2,7.8,1.9,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-31,0,0,0,0,0,0,0,0,0,18,0,12.6,23.5,28,6.7,12.8,8.1,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-31,0,0,0,0,0,0,0,0,0,14.4,5,9.8,18.9,21,3.1,8.3,6,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-31,0,0,0,0,0,0,0,0,0,15.2,0,11.8,18.7,3,0.6,6.1,5.8,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-02-01,7,6,0,0,0,1,5,0,0,15.2,0,8.9,21.4,21,2.2,5.8,4.8,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-02-01,8,8,0,0,0,0,2,0,0,14.9,0,10.6,19.2,22,3.1,10.3,6.8,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-02-01,0,0,0,0,0,0,0,0,0,19,0,15.1,22.9,29,8.3,15.3,8.4,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-02-01,0,0,0,0,0,0,0,0,0,17.1,0,13,21.2,26,2.2,6.7,4.7,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-02-01,0,0,0,0,0,0,0,0,0,16.6,0,11.7,21.5,34,2.2,5.8,5.9,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-02-02,0,0,0,0,0,0,8,0,0,15.4,0,10,20.7,99,2.5,8.9,6.8,NA,NA,NA,NA,NA,NA,NA
